_id,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
920,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2007-03-16T00:00:00,2058,CAPITAL FEDERAL Nº 058,Ciudad Autónoma de Buenos Aires,Importado,2007,5,SEDAN 5 PTAS,024,CHEVROLET,342,ZAFIRA GLS,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1967,ARGENTINA,100,2,200
921,COMUNICACIÓN DE RECUPERO,2024-12-06T00:00:00,2019-11-26T00:00:00,2061,CAPITAL FEDERAL Nº 061,Ciudad Autónoma de Buenos Aires,Nacional,2020,12,SEDAN 4 PUERTAS,17,FIAT,CJ,CRONOS DRIVE 1.3 MT,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1977,No aplica,100,2,
922,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2004-06-14T00:00:00,2065,CAPITAL FEDERAL Nº 065,Ciudad Autónoma de Buenos Aires,Nacional,2004,17,SEDAN 5 PTAS,19,FORD,RM,FOCUS AMBIENTE 5P 1.6L N,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1949,ARGENTINA,50,2,200
923,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2004-05-10T00:00:00,21039,ROSARIO Nº 06,Santa Fe,Nacional,2004,12,SEDAN 4 PTAS,08,CHEVROLET,99,CORSA II 4P GL PACK GAS 1.8,1,Privado,Física,ROSARIO,SANTA FE,Femenino,1987,ARGENTINA,100,82,200
924,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2012-07-11T00:00:00,2078,CAPITAL FEDERAL Nº 078,Ciudad Autónoma de Buenos Aires,Importado,2012,5,SEDAN 5 PTAS,024,CHEVROLET,532,CRUZE 1.8 LTZ,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1984,ARGENTINA,100,2,200
925,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2003-10-16T00:00:00,1226,LA MATANZA Nº 09,Buenos Aires,Importado,2003,12,FAMILIAR,136,VOLKSWAGEN,324,SHARAN 1.8 T,1,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Masculino,1985,ARGENTINA,100,6,200
926,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,1999-06-22T00:00:00,2081,CAPITAL FEDERAL Nº 081,Ciudad Autónoma de Buenos Aires,Importado,1999,5,SEDAN 5 PTAS,047,FORD,114,MONDEO GHIA,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1960,ARGENTINA,100,2,200
927,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,1992-09-24T00:00:00,2084,CAPITAL FEDERAL Nº 084,Ciudad Autónoma de Buenos Aires,Nacional,1992,17,SEDAN 5 PTAS,19,FORD,40,ESCORT LX,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1998,ARGENTINA,100,2,200
928,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2024-06-25T00:00:00,2090,CAPITAL FEDERAL Nº 090,Ciudad Autónoma de Buenos Aires,Nacional,2024,40,TODO TERRENO,68,TOYOTA,BW,SW4 4X4 SRX 2.8 TDI 6 AT 7A,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994,No aplica,100,2,
929,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2021-02-24T00:00:00,2091,CAPITAL FEDERAL Nº 091,Ciudad Autónoma de Buenos Aires,Protocolo 21,2021,2,SEDAN 4 PUERTAS,024,CHEVROLET,773,ONIX PLUS 1.2 MT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1966,ARGENTINA,100,2,200
930,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2015-07-07T00:00:00,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2015,20,PICK-UP,68,TOYOTA,70,HILUX 4X2 C/D DX PACK ELECTRICO 2.5 TDI - H3,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1968,ARGENTINA,100,6,200
931,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2011-09-23T00:00:00,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2011,12,SEDAN 4 PTAS,08,CHEVROLET,DD,CLASSIC 4 PTAS LT 1.4N,1,Privado,Física,LAFERRERE,BUENOS AIRES,Masculino,1976,ARGENTINA,100,6,200
